control_id,technique_id,mapping_type,matrix
ac-17,T1563.002,mitigates,nist-800-53-r5
ac-17,T1602,mitigates,nist-800-53-r5
ac-17,T1602.001,mitigates,nist-800-53-r5
ac-17,T1612,mitigates,nist-800-53-r5
ac-17,T1613,mitigates,nist-800-53-r5
ac-17,T1619,mitigates,nist-800-53-r5
ac-17,T1040,mitigates,nist-800-53-r5
ac-17,T1119,mitigates,nist-800-53-r5
ac-17,T1133,mitigates,nist-800-53-r5
ac-17,T1530,mitigates,nist-800-53-r5
ac-17,T1552.007,mitigates,nist-800-53-r5
ac-17,T1557,mitigates,nist-800-53-r5
ac-17,T1070.008,mitigates,nist-800-53-r5
ac-17,T1505.005,mitigates,nist-800-53-r5
ac-17,T1647,mitigates,nist-800-53-r5
ac-18,T1011,mitigates,nist-800-53-r5
ac-18,T1011.001,mitigates,nist-800-53-r5
ac-18,T1020.001,mitigates,nist-800-53-r5
ac-18,T1070,mitigates,nist-800-53-r5
ac-18,T1070.001,mitigates,nist-800-53-r5
ac-18,T1558,mitigates,nist-800-53-r5
ac-18,T1558.003,mitigates,nist-800-53-r5
ac-18,T1565,mitigates,nist-800-53-r5
ac-18,T1565.001,mitigates,nist-800-53-r5
ac-18,T1565.002,mitigates,nist-800-53-r5
ac-18,T1602.002,mitigates,nist-800-53-r5
ac-18,T1070.002,mitigates,nist-800-53-r5
ac-18,T1552,mitigates,nist-800-53-r5
ac-18,T1552.004,mitigates,nist-800-53-r5
ac-18,T1557.002,mitigates,nist-800-53-r5
ac-18,T1558.002,mitigates,nist-800-53-r5
ac-18,T1558.004,mitigates,nist-800-53-r5
ac-18,T1602,mitigates,nist-800-53-r5
ac-18,T1602.001,mitigates,nist-800-53-r5
ac-18,T1040,mitigates,nist-800-53-r5
ac-18,T1119,mitigates,nist-800-53-r5
ac-18,T1530,mitigates,nist-800-53-r5
ac-18,T1557,mitigates,nist-800-53-r5
ac-18,T1070.008,mitigates,nist-800-53-r5
ac-19,T1020.001,mitigates,nist-800-53-r5
ac-19,T1070,mitigates,nist-800-53-r5
ac-19,T1070.001,mitigates,nist-800-53-r5
ac-19,T1550.001,mitigates,nist-800-53-r5
ac-19,T1558,mitigates,nist-800-53-r5
ac-19,T1558.003,mitigates,nist-800-53-r5
ac-19,T1565,mitigates,nist-800-53-r5
ac-19,T1565.001,mitigates,nist-800-53-r5
ac-19,T1565.002,mitigates,nist-800-53-r5
ac-19,T1602.002,mitigates,nist-800-53-r5
ac-19,T1070.002,mitigates,nist-800-53-r5
ac-19,T1114,mitigates,nist-800-53-r5
ac-19,T1114.001,mitigates,nist-800-53-r5
ac-19,T1114.002,mitigates,nist-800-53-r5
ac-19,T1114.003,mitigates,nist-800-53-r5
ac-19,T1552,mitigates,nist-800-53-r5
ac-19,T1552.004,mitigates,nist-800-53-r5
ac-19,T1557.002,mitigates,nist-800-53-r5
ac-19,T1558.002,mitigates,nist-800-53-r5
ac-19,T1558.004,mitigates,nist-800-53-r5
ac-19,T1602,mitigates,nist-800-53-r5
ac-19,T1602.001,mitigates,nist-800-53-r5
ac-19,T1040,mitigates,nist-800-53-r5
ac-19,T1119,mitigates,nist-800-53-r5
ac-19,T1530,mitigates,nist-800-53-r5
ac-19,T1557,mitigates,nist-800-53-r5
ac-19,T1070.008,mitigates,nist-800-53-r5
ac-2,T1021.001,mitigates,nist-800-53-r5
ac-2,T1047,mitigates,nist-800-53-r5
ac-2,T1053,mitigates,nist-800-53-r5
ac-2,T1053.002,mitigates,nist-800-53-r5
ac-2,T1053.003,mitigates,nist-800-53-r5
ac-2,T1053.005,mitigates,nist-800-53-r5
ac-2,T1059,mitigates,nist-800-53-r5
ac-2,T1059.001,mitigates,nist-800-53-r5
ac-2,T1059.002,mitigates,nist-800-53-r5
ac-2,T1059.005,mitigates,nist-800-53-r5
ac-2,T1059.008,mitigates,nist-800-53-r5
ac-2,T1070,mitigates,nist-800-53-r5
ac-2,T1070.001,mitigates,nist-800-53-r5
ac-2,T1070.003,mitigates,nist-800-53-r5
ac-2,T1078.002,mitigates,nist-800-53-r5
ac-2,T1078.004,mitigates,nist-800-53-r5
ac-2,T1098,mitigates,nist-800-53-r5
ac-2,T1098.001,mitigates,nist-800-53-r5
ac-2,T1098.002,mitigates,nist-800-53-r5
ac-2,T1098.003,mitigates,nist-800-53-r5
ac-2,T1190,mitigates,nist-800-53-r5
ac-2,T1197,mitigates,nist-800-53-r5
ac-2,T1210,mitigates,nist-800-53-r5
ac-2,T1213.003,mitigates,nist-800-53-r5
ac-2,T1218.007,mitigates,nist-800-53-r5
ac-2,T1222,mitigates,nist-800-53-r5
ac-2,T1495,mitigates,nist-800-53-r5
ac-2,T1505,mitigates,nist-800-53-r5
ac-2,T1505.003,mitigates,nist-800-53-r5
ac-2,T1525,mitigates,nist-800-53-r5
ac-2,T1537,mitigates,nist-800-53-r5
ac-2,T1543,mitigates,nist-800-53-r5
ac-2,T1543.001,mitigates,nist-800-53-r5
ac-2,T1543.003,mitigates,nist-800-53-r5
ac-2,T1546.003,mitigates,nist-800-53-r5
ac-2,T1547.004,mitigates,nist-800-53-r5
ac-2,T1547.006,mitigates,nist-800-53-r5
ac-2,T1547.009,mitigates,nist-800-53-r5
ac-2,T1548.002,mitigates,nist-800-53-r5
ac-2,T1548.003,mitigates,nist-800-53-r5
ac-2,T1556.004,mitigates,nist-800-53-r5
ac-2,T1558,mitigates,nist-800-53-r5
ac-2,T1558.003,mitigates,nist-800-53-r5
ac-2,T1559,mitigates,nist-800-53-r5
ac-2,T1562,mitigates,nist-800-53-r5
ac-2,T1562.001,mitigates,nist-800-53-r5
ac-2,T1562.006,mitigates,nist-800-53-r5
ac-2,T1562.008,mitigates,nist-800-53-r5
ac-2,T1567,mitigates,nist-800-53-r5
ac-2,T1574,mitigates,nist-800-53-r5
ac-2,T1574.007,mitigates,nist-800-53-r5
ac-2,T1609,mitigates,nist-800-53-r5
ac-2,T1610,mitigates,nist-800-53-r5
ac-2,T1003,mitigates,nist-800-53-r5
ac-2,T1003.004,mitigates,nist-800-53-r5
ac-2,T1003.005,mitigates,nist-800-53-r5
ac-2,T1003.006,mitigates,nist-800-53-r5
ac-2,T1003.007,mitigates,nist-800-53-r5
ac-2,T1003.008,mitigates,nist-800-53-r5
ac-2,T1021,mitigates,nist-800-53-r5
ac-2,T1021.002,mitigates,nist-800-53-r5
ac-2,T1021.003,mitigates,nist-800-53-r5
ac-2,T1021.004,mitigates,nist-800-53-r5
ac-2,T1021.005,mitigates,nist-800-53-r5
ac-2,T1021.006,mitigates,nist-800-53-r5
ac-2,T1025,mitigates,nist-800-53-r5
ac-2,T1036,mitigates,nist-800-53-r5
ac-2,T1036.003,mitigates,nist-800-53-r5
ac-2,T1036.005,mitigates,nist-800-53-r5
ac-2,T1041,mitigates,nist-800-53-r5
ac-2,T1048,mitigates,nist-800-53-r5
ac-2,T1048.002,mitigates,nist-800-53-r5
ac-2,T1048.003,mitigates,nist-800-53-r5
ac-2,T1052,mitigates,nist-800-53-r5
ac-2,T1052.001,mitigates,nist-800-53-r5
ac-2,T1053.006,mitigates,nist-800-53-r5
ac-2,T1053.007,mitigates,nist-800-53-r5
ac-2,T1055.008,mitigates,nist-800-53-r5
ac-2,T1056.003,mitigates,nist-800-53-r5
ac-2,T1059.003,mitigates,nist-800-53-r5
ac-2,T1059.004,mitigates,nist-800-53-r5
ac-2,T1059.006,mitigates,nist-800-53-r5
